checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,18,existing paid,radio/tv,2389,<100,<1,4,female div/dep/mar,none,1,car,27,bank,own,1,skilled,1,none,yes,good
no checking,12,critical/order existing credit,furniture/equipment,3331,<100,>=7,2,male single,none,4,life insurance,42,stores,own,1,skilled,1,none,yes,good
no checking,36,existing paid,business,7409,no known savings,>=7,3,male single,none,2,life insurance,37,stores,own,2,skilled,1,none,yes,good
<0,12,existing paid,furniture/equipment,652,<100,>=7,4,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,good
no checking,36,delayed previously,furniture/equipment,7678,500<=X<10000,4<=X<7,2,female div/dep/mar,none,4,car,40,stores,own,2,skilled,1,yes,yes,good
>=200,6,critical/order existing credit,new car,1343,<100,>=7,1,male single,none,4,real estate,46,stores,own,2,skilled,2,none,no,good
<0,24,critical/order existing credit,business,1382,100<=X<500,4<=X<7,4,male single,none,1,real estate,26,stores,own,2,skilled,1,yes,yes,good
no checking,15,existing paid,domestic appliance,874,no known savings,<1,4,female div/dep/mar,none,1,real estate,24,stores,own,1,skilled,1,none,yes,good
<0,12,existing paid,furniture/equipment,3590,<100,1<=X<4,2,male single,co applicant,2,life insurance,29,stores,own,1,unskilled resident,2,none,yes,good
0<=X<200,11,critical/order existing credit,new car,1322,>=1000,1<=X<4,4,female div/dep/mar,none,4,car,40,stores,own,2,skilled,1,none,yes,good
<0,18,all paid,radio/tv,1940,<100,<1,3,male single,co applicant,4,no known property,36,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,36,existing paid,radio/tv,3595,<100,>=7,4,male single,none,2,car,28,stores,own,1,skilled,1,none,yes,good
<0,9,existing paid,new car,1422,<100,<1,3,male single,none,2,no known property,27,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,30,critical/order existing credit,radio/tv,6742,no known savings,4<=X<7,2,male single,none,3,life insurance,36,stores,own,2,skilled,1,none,yes,good
no checking,24,existing paid,used car,7814,<100,4<=X<7,3,male single,none,3,car,38,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,existing paid,used car,9277,no known savings,1<=X<4,2,male div/sep,none,4,no known property,48,stores,for free,1,skilled,1,yes,yes,good
0<=X<200,30,critical/order existing credit,new car,2181,no known savings,>=7,4,male single,none,4,real estate,36,stores,own,2,skilled,1,none,yes,good
no checking,18,critical/order existing credit,radio/tv,1098,<100,unemployed,4,female div/dep/mar,none,4,car,65,stores,own,2,unemp/unskilled non res,1,none,yes,good
0<=X<200,24,existing paid,furniture/equipment,4057,<100,4<=X<7,3,male div/sep,none,3,car,43,stores,own,1,skilled,1,yes,yes,bad
<0,12,existing paid,education,795,<100,<1,4,female div/dep/mar,none,4,life insurance,53,stores,own,1,skilled,1,none,yes,bad
0<=X<200,24,critical/order existing credit,business,2825,no known savings,4<=X<7,4,male single,none,3,no known property,34,stores,own,2,skilled,2,yes,yes,good
0<=X<200,48,existing paid,business,15672,<100,1<=X<4,2,male single,none,2,car,23,stores,own,1,skilled,1,yes,yes,bad
no checking,32.6,critical/order existing credit,new car,6614,<100,>=7,4,male single,none,4,car,34,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,28,delayed previously,used car,7824,no known savings,<1,3,male single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,good
<0,27,critical/order existing credit,business,2442,<100,>=7,4,male single,none,4,car,43,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,good
no checking,15,critical/order existing credit,radio/tv,1829,<100,>=7,4,male single,none,4,car,46,stores,own,2,skilled,1,yes,yes,good
<0,12,critical/order existing credit,new car,2171,<100,1<=X<4,4,male single,none,4,life insurance,38,bank,own,2,unskilled resident,1,none,no,good
0<=X<200,36,critical/order existing credit,used car,5800,<100,1<=X<4,3,male single,none,4,car,34,stores,own,2,skilled,1,yes,yes,good
no checking,18,critical/order existing credit,radio/tv,1169,no known savings,1<=X<4,4,male single,none,3,life insurance,29,stores,own,2,skilled,1,yes,yes,good
no checking,36,delayed previously,used car,8947,no known savings,4<=X<7,3,male single,none,2,car,31,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
<0,21,existing paid,radio/tv,2606,<100,<1,4,female div/dep/mar,none,4,life insurance,28,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,critical/order existing credit,furniture/equipment,1592,>=1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,35,stores,own,1,skilled,1,none,no,good
no checking,15,existing paid,furniture/equipment,2186,no known savings,4<=X<7,1,female div/dep/mar,none,4,real estate,33,bank,rent,1,unskilled resident,1,none,yes,good
<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,male single,co applicant,3,car,42,stores,own,1,skilled,1,none,yes,bad
<0,16,critical/order existing credit,new car,2625,<100,>=7,2,male single,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad
no checking,20,critical/order existing credit,new car,3485,no known savings,<1,2,male div/sep,none,4,real estate,44,stores,own,2,skilled,1,yes,yes,good
no checking,36,critical/order existing credit,used car,10477,no known savings,>=7,2,male single,none,4,no known property,42,stores,for free,2,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1386,no known savings,1<=X<4,4,male mar/wid,none,2,real estate,40,stores,rent,1,skilled,1,yes,yes,good
no checking,24,existing paid,radio/tv,1278,<100,>=7,4,male single,none,1,real estate,36,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,12,existing paid,new car,1107,<100,1<=X<4,2,male single,none,2,real estate,20,stores,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
<0,21,existing paid,new car,3763,no known savings,4<=X<7,2,male single,co applicant,2,real estate,24,stores,own,1,unskilled resident,1,none,no,good
0<=X<200,36,existing paid,education,3711,no known savings,1<=X<4,2,male mar/wid,none,2,car,27,stores,own,1,skilled,1,none,yes,good
no checking,15,delayed previously,used car,3594,<100,<1,1,female div/dep/mar,none,2,life insurance,46,stores,own,2,unskilled resident,1,none,yes,good
0<=X<200,9,existing paid,new car,3195,no known savings,1<=X<4,1,female div/dep/mar,none,2,real estate,33,stores,own,1,unskilled resident,1,none,yes,good
no checking,36,delayed previously,radio/tv,4454,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,34,stores,own,2,skilled,1,none,yes,good
0<=X<200,24,critical/order existing credit,furniture/equipment,4736,<100,<1,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,bad
0<=X<200,30,existing paid,radio/tv,2991,no known savings,>=7,2,female div/dep/mar,none,4,car,25,stores,own,1,skilled,1,none,yes,good
no checking,11,existing paid,business,2142,>=1000,>=7,1,male div/sep,none,2,real estate,28,stores,own,1,skilled,1,yes,yes,good
<0,24,all paid,business,3161,<100,1<=X<4,4,male single,none,2,life insurance,31,stores,rent,1,skilled,1,yes,yes,bad
0<=X<200,48,no credits/all paid,other,18424,<100,1<=X<4,1,female div/dep/mar,none,2,life insurance,32,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad
no checking,10,existing paid,used car,2848,100<=X<500,1<=X<4,1,male single,co applicant,2,real estate,32,stores,own,1,skilled,2,none,yes,good
<0,6,existing paid,new car,14896,<100,>=7,1,male single,none,4,no known property,68,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,24,existing paid,furniture/equipment,2359,100<=X<500,unemployed,1,male div/sep,none,1,life insurance,33,stores,own,1,skilled,1,none,yes,bad
<0,24,existing paid,furniture/equipment,3290.37,<100,>=7,4,male single,none,2,life insurance,39,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,18,critical/order existing credit,furniture/equipment,1817,<100,1<=X<4,4,female div/dep/mar,none,2,no known property,28,stores,own,2,skilled,1,none,yes,good
no checking,48,delayed previously,radio/tv,12749,500<=X<10000,4<=X<7,4,male single,none,1,car,37,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,9,existing paid,radio/tv,1366,<100,<1,3,female div/dep/mar,none,4,life insurance,22,stores,rent,1,skilled,1,none,yes,bad
0<=X<200,12,existing paid,new car,2002,<100,4<=X<7,3,male single,none,4,life insurance,30,stores,rent,1,skilled,2,yes,yes,good
<0,24,all paid,furniture/equipment,6872,<100,<1,2,male div/sep,none,1,life insurance,55,bank,own,1,skilled,1,yes,yes,bad
<0,12,all paid,new car,697,<100,<1,4,male single,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
<0,18,critical/order existing credit,furniture/equipment,1049,<100,<1,1,female div/dep/mar,none,4,life insurance,21,stores,rent,1,skilled,1,none,yes,good
<0,47.1,existing paid,used car,10297,<100,4<=X<7,4,male single,none,4,no known property,39,stores,for free,3,skilled,2,yes,yes,bad
no checking,30,existing paid,radio/tv,1867,no known savings,>=7,4,male single,none,4,car,58,stores,own,1,skilled,1,yes,yes,good
<0,12,delayed previously,new car,1344,<100,1<=X<4,4,male single,none,2,real estate,43,stores,own,2,unskilled resident,2,none,yes,good
<0,24,existing paid,furniture/equipment,1747,<100,<1,4,male single,co applicant,1,life insurance,24,stores,own,1,unskilled resident,1,none,no,good
0<=X<200,9,existing paid,radio/tv,1670,<100,<1,4,female div/dep/mar,none,2,car,22,stores,own,1,skilled,1,yes,yes,bad
no checking,9,critical/order existing credit,new car,1224,<100,1<=X<4,3,male single,none,1,real estate,30,stores,own,2,skilled,1,none,yes,good
no checking,12,critical/order existing credit,radio/tv,522,500<=X<10000,>=7,4,male single,none,4,life insurance,42,stores,own,2,skilled,2,yes,yes,good
<0,12,existing paid,radio/tv,1498,<100,1<=X<4,4,female div/dep/mar,none,1,car,23,bank,own,1,skilled,1,none,yes,good
0<=X<200,30,delayed previously,radio/tv,1919,100<=X<500,<1,4,female div/dep/mar,none,3,no known property,30,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
>=200,9,existing paid,radio/tv,745,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,28,stores,own,1,unskilled resident,1,none,yes,bad
0<=X<200,6,existing paid,radio/tv,2063,<100,<1,4,male mar/wid,none,3,car,30,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,60,existing paid,education,6288,<100,1<=X<4,4,male single,none,4,no known property,42,stores,for free,1,skilled,1,none,yes,bad
no checking,24,critical/order existing credit,used car,6842,no known savings,1<=X<4,2,male single,none,4,life insurance,46,stores,own,2,high qualif/self emp/mgmt,2,yes,yes,good
no checking,12,existing paid,new car,3527,no known savings,<1,2,male single,none,3,life insurance,45,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
no checking,10,existing paid,new car,1546,<100,1<=X<4,3,male single,none,2,real estate,31,stores,own,1,unskilled resident,2,none,no,good
no checking,24,existing paid,furniture/equipment,929,no known savings,4<=X<7,4,male single,none,2,car,31,stores,own,1,skilled,1,yes,yes,good
no checking,4,critical/order existing credit,new car,1455,<100,4<=X<7,2,male single,none,1,real estate,42,stores,own,3,unskilled resident,2,none,yes,good
<0,15,existing paid,furniture/equipment,1845,<100,<1,4,female div/dep/mar,guarantor,1,life insurance,46,stores,rent,1,skilled,1,none,yes,good
0<=X<200,48,no credits/all paid,new car,8358,500<=X<10000,<1,1,female div/dep/mar,none,1,car,30,stores,own,2,skilled,1,none,yes,good
<0,24,all paid,furniture/equipment,3349,500<=X<10000,<1,4,male single,none,4,no known property,30,stores,for free,1,skilled,2,yes,yes,bad
no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,38,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,18,existing paid,furniture/equipment,1533,<100,<1,4,male mar/wid,co applicant,1,life insurance,33,stores,own,1,unskilled resident,2,none,yes,bad
no checking,24,existing paid,radio/tv,3621,100<=X<500,>=7,2,male single,none,4,car,31,stores,own,2,skilled,1,none,yes,bad
0<=X<200,18,critical/order existing credit,business,3590,<100,unemployed,3,male mar/wid,none,3,car,40,stores,own,3,unemp/unskilled non res,2,yes,yes,good
<0,36,delayed previously,business,2145,<100,4<=X<7,2,male single,none,1,car,24,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,24,existing paid,used car,4357.69,500<=X<10000,<1,3,female div/dep/mar,none,4,car,28,stores,rent,1,skilled,1,none,yes,bad
no checking,36,existing paid,furniture/equipment,10974,<100,unemployed,4,female div/dep/mar,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
<0,12,existing paid,new car,1893,<100,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,29,stores,own,1,skilled,1,yes,yes,good
<0,24,critical/order existing credit,radio/tv,1231,>=1000,>=7,4,female div/dep/mar,none,4,life insurance,57,stores,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
>=200,30,critical/order existing credit,radio/tv,3656,no known savings,>=7,4,male single,none,4,life insurance,49,stores,own,2,unskilled resident,1,none,yes,good
0<=X<200,9,critical/order existing credit,radio/tv,1154,<100,>=7,2,male single,none,4,real estate,37,stores,own,3,unskilled resident,1,none,yes,good
<0,28,existing paid,new car,4006,<100,1<=X<4,3,male single,none,2,car,45,stores,own,1,unskilled resident,1,none,yes,bad
0<=X<200,24,existing paid,furniture/equipment,3069,100<=X<500,>=7,4,male single,none,4,no known property,30,stores,for free,1,skilled,1,none,yes,good
no checking,6,critical/order existing credit,radio/tv,1740,<100,>=7,2,male mar/wid,none,2,real estate,30,stores,rent,2,skilled,1,none,yes,good
0<=X<200,21,delayed previously,new car,2353,<100,1<=X<4,1,male div/sep,none,4,life insurance,47,stores,own,2,skilled,1,none,yes,good
no checking,15,existing paid,new car,3556,no known savings,1<=X<4,3,male single,none,2,no known property,29,stores,own,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,2397,500<=X<10000,>=7,3,male single,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad
0<=X<200,6,existing paid,repairs,454,<100,<1,3,male mar/wid,none,1,life insurance,22,stores,own,1,unskilled resident,1,none,yes,good
0<=X<200,30,existing paid,radio/tv,1715,no known savings,1<=X<4,4,female div/dep/mar,none,1,car,26,stores,own,1,skilled,1,none,yes,good
0<=X<200,27,critical/order existing credit,radio/tv,2520,500<=X<10000,1<=X<4,4,male single,none,2,life insurance,23,stores,own,2,unskilled resident,1,none,yes,bad
no checking,15,existing paid,radio/tv,3568,<100,>=7,4,female div/dep/mar,none,2,car,54,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,42,existing paid,radio/tv,7166,no known savings,4<=X<7,2,male mar/wid,none,4,life insurance,29,stores,rent,1,skilled,1,yes,yes,good
<0,11,critical/order existing credit,new car,3939,<100,1<=X<4,1,male single,none,2,real estate,40,stores,own,2,unskilled resident,2,none,yes,good
0<=X<200,15,existing paid,repairs,1514,100<=X<500,1<=X<4,4,male single,guarantor,2,real estate,22,stores,own,1,skilled,1,none,yes,good
no checking,24,existing paid,new car,7393,<100,1<=X<4,1,male single,none,4,life insurance,43,stores,own,1,unskilled resident,2,none,yes,good
<0,24,all paid,new car,1193,<100,unemployed,1,female div/dep/mar,co applicant,4,no known property,29,stores,rent,2,unemp/unskilled non res,1,none,yes,bad
<0,60,existing paid,business,7297,<100,>=7,4,male single,co applicant,4,no known property,36,stores,rent,1,skilled,1,none,yes,bad
no checking,30,critical/order existing credit,radio/tv,2831,<100,1<=X<4,4,female div/dep/mar,none,2,car,33,stores,own,1,skilled,1,yes,yes,good
>=200,24,existing paid,radio/tv,1258,500<=X<10000,1<=X<4,3,female div/dep/mar,none,3,car,57,stores,own,1,unskilled resident,1,none,yes,good
0<=X<200,6,existing paid,radio/tv,753,<100,1<=X<4,2,female div/dep/mar,guarantor,3,real estate,64,stores,own,1,skilled,1,none,yes,good
0<=X<200,18,delayed previously,business,2427,no known savings,>=7,4,male single,none,2,life insurance,42,stores,own,2,skilled,1,none,yes,good
no checking,24,delayed previously,new car,2538,<100,>=7,4,male single,none,4,car,47,stores,own,2,unskilled resident,2,none,yes,bad
0<=X<200,15,all paid,new car,1264,100<=X<500,1<=X<4,2,male mar/wid,none,2,life insurance,25,stores,rent,1,skilled,1,none,yes,bad
0<=X<200,30,critical/order existing credit,furniture/equipment,8386,<100,4<=X<7,2,male single,none,2,life insurance,49,stores,own,1,skilled,1,none,yes,bad
no checking,48,existing paid,business,4844,<100,unemployed,3,male single,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
>=200,21,existing paid,new car,2923,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,36,existing paid,used car,8229,<100,1<=X<4,2,male single,none,2,life insurance,26,stores,own,1,skilled,2,none,yes,bad
no checking,24,critical/order existing credit,furniture/equipment,2028,<100,4<=X<7,2,male single,none,2,life insurance,30,stores,own,2,unskilled resident,1,none,yes,good
<0,15,critical/order existing credit,furniture/equipment,1433,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,25,stores,rent,2,skilled,1,none,yes,good
>=200,42,no credits/all paid,business,6289,<100,<1,2,male div/sep,none,1,life insurance,33,stores,own,2,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,1409,100<=X<500,unemployed,2,female div/dep/mar,none,4,real estate,64,stores,own,1,skilled,1,none,yes,good
<0,24,existing paid,used car,6579,<100,unemployed,4,male single,none,2,no known property,29,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,24,critical/order existing credit,radio/tv,1743,<100,>=7,4,male single,none,2,life insurance,48,stores,own,2,unskilled resident,1,none,yes,good
no checking,12,critical/order existing credit,education,3565,no known savings,<1,2,male single,none,1,life insurance,37,stores,own,2,unskilled resident,2,none,yes,good
no checking,15,all paid,radio/tv,1569,100<=X<500,>=7,4,male single,none,4,car,34,bank,own,1,unskilled resident,2,none,yes,good
<0,18,existing paid,radio/tv,1936,no known savings,4<=X<7,2,male mar/wid,none,4,car,23,stores,rent,2,unskilled resident,1,none,yes,good
<0,36,existing paid,furniture/equipment,3959,<100,unemployed,4,male single,none,3,life insurance,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,new car,2390,no known savings,>=7,4,male single,none,3,car,50,stores,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1736,<100,4<=X<7,3,female div/dep/mar,none,4,real estate,74,stores,own,1,unskilled resident,1,none,yes,good
<0,30,existing paid,used car,3857,<100,1<=X<4,4,male div/sep,none,4,life insurance,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,804,<100,>=7,4,male single,none,4,car,38,stores,own,1,skilled,1,none,yes,good
<0,45,existing paid,radio/tv,1845,<100,1<=X<4,4,male single,none,3.8,no known property,23,stores,for free,1,skilled,1,yes,yes,bad
0<=X<200,45,critical/order existing credit,used car,4576,100<=X<500,unemployed,3,male single,none,4,car,27,stores,own,1,skilled,1,none,yes,good
<0,23.4,existing paid,furniture/equipment,1284.29,no known savings,1<=X<4,4,female div/dep/mar,none,3.9,life insurance,31.4,stores,rent,1,skilled,1,none,yes,bad
0<=X<200,21,critical/order existing credit,other,2543.41,500<=X<10000,1<=X<4,4,male single,none,1.6,life insurance,27,stores,own,1.6,unskilled resident,1,none,yes,bad
<0,24,all paid,new car,1357.29,no known savings,<1,4,male single,none,2.9,car,39.8,stores,own,1.1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,12.7,delayed previously,other,1479.24,>=1000,1<=X<4,2.23,male mar/wid,none,1.3,no known property,25.8,stores,for free,1.1,skilled,1,none,yes,bad
<0,14.9,critical/order existing credit,other,1271.08,>=1000,1<=X<4,3,male mar/wid,none,3.9,no known property,38.9,stores,for free,2,skilled,1,none,yes,bad
>=200,15.3,existing paid,new car,1982.95,<100,4<=X<7,2,male div/sep,co applicant,2.8,life insurance,19.8,stores,rent,1.6,skilled,1,none,yes,bad
0<=X<200,48,critical/order existing credit,other,6284.08,<100,>=7,4,male single,none,4,no known property,47.8,stores,for free,1.6,skilled,1,none,yes,bad
0<=X<200,21.7,existing paid,education,15240.04,<100,<1,1.66,male single,none,4,no known property,64.7,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,10.9,critical/order existing credit,education,3393.84,<100,1<=X<4,1.33,male div/sep,none,2.6,no known property,38.1,stores,own,1.3,high qualif/self emp/mgmt,1,none,yes,bad
>=200,18.9,no credits/all paid,business,4156.47,<100,1<=X<4,2.16,male single,none,2.3,car,34,stores,own,2,skilled,2,none,yes,bad
>=200,18.1,critical/order existing credit,furniture/equipment,2774.85,500<=X<10000,4<=X<7,2.04,male mar/wid,none,2,car,31.5,bank,own,2,skilled,1,none,yes,bad
0<=X<200,35,delayed previously,retraining,8254.29,<100,1<=X<4,2,male single,none,2,life insurance,29.7,stores,own,1,skilled,2,none,yes,bad
<0,36,existing paid,furniture/equipment,1838.79,<100,4<=X<7,4,female div/dep/mar,none,4,car,34.4,stores,for free,1,skilled,1,yes,yes,bad
0<=X<200,12,delayed previously,other,1664.24,<100,4<=X<7,4,female div/dep/mar,none,2,car,26.5,stores,own,1.3,skilled,1,none,yes,bad
no checking,12.2,critical/order existing credit,radio/tv,1554.03,<100,<1,3.96,male single,none,3.9,life insurance,54.1,bank,for free,2,skilled,2,none,yes,bad
0<=X<200,19.5,delayed previously,new car,1440.48,500<=X<10000,4<=X<7,3.39,female div/dep/mar,none,3.7,car,24.8,stores,own,1.7,skilled,1,none,yes,bad
<0,14.8,critical/order existing credit,other,6463.37,>=1000,>=7,2,male single,none,2.4,no known property,46,bank,own,1.5,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,51.9,delayed previously,domestic appliance,15381.28,500<=X<10000,1<=X<4,2.33,male mar/wid,none,2.7,car,35.1,bank,for free,1.3,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,12,delayed previously,new car,674.84,<100,1<=X<4,2.34,male div/sep,none,3.2,car,24.8,bank,own,1,unskilled resident,1,none,yes,bad
0<=X<200,41.5,existing paid,repairs,4640.57,<100,<1,2.73,male mar/wid,none,4,life insurance,24.3,bank,for free,1.7,skilled,2,none,yes,bad
>=200,18.2,existing paid,business,4163.19,500<=X<10000,1<=X<4,2.03,male mar/wid,none,2.1,car,35.7,stores,own,2,skilled,2,none,yes,bad
0<=X<200,30.5,existing paid,radio/tv,12475.88,>=1000,4<=X<7,2.37,male div/sep,none,3.1,no known property,40.2,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,18.9,delayed previously,new car,1039.16,>=1000,1<=X<4,4,female div/dep/mar,none,2.3,life insurance,35.4,stores,own,1,skilled,1,none,yes,bad
<0,48,existing paid,furniture/equipment,3927.7,<100,1<=X<4,4,male mar/wid,none,3.6,no known property,44.4,bank,for free,1,skilled,2,none,yes,bad
0<=X<200,21.5,existing paid,new car,1350.89,<100,4<=X<7,3.41,female div/dep/mar,none,3.6,life insurance,25.4,bank,own,1,unemp/unskilled non res,1,none,yes,bad
0<=X<200,9.9,existing paid,furniture/equipment,956.6,500<=X<10000,1<=X<4,1.9,female div/dep/mar,none,2.6,car,28.4,bank,own,1.9,skilled,1,none,no,bad
0<=X<200,41.1,critical/order existing credit,education,6029.27,<100,1<=X<4,4,male single,none,3.1,no known property,30.2,bank,for free,1,skilled,1,none,yes,bad
>=200,45.6,critical/order existing credit,retraining,11644.16,100<=X<500,1<=X<4,1.87,female div/dep/mar,none,3.6,car,25.3,bank,own,1.9,unskilled resident,1,none,yes,bad
<0,23.8,existing paid,furniture/equipment,4111.31,<100,<1,2.97,male single,guarantor,4,life insurance,23.6,bank,own,2,skilled,2,none,yes,bad
0<=X<200,35.1,existing paid,business,4287.99,100<=X<500,1<=X<4,3.71,female div/dep/mar,none,4,car,25.4,stores,rent,1.7,unemp/unskilled non res,1,none,yes,bad
>=200,25,existing paid,business,4591.57,<100,1<=X<4,2.04,male single,none,3,life insurance,52.8,stores,for free,3,high qualif/self emp/mgmt,1,none,yes,bad
<0,14.4,existing paid,new car,1533.6,<100,<1,2.2,male mar/wid,guarantor,1,no known property,31,stores,own,1,skilled,1,none,yes,bad
0<=X<200,29.2,critical/order existing credit,furniture/equipment,2730.14,<100,4<=X<7,3.43,male div/sep,none,4,car,24.8,bank,own,1,unemp/unskilled non res,1,none,yes,bad
<0,21.7,existing paid,furniture/equipment,1282.44,no known savings,1<=X<4,4,female div/dep/mar,none,3.5,life insurance,30,stores,rent,1,skilled,1,none,yes,bad
no checking,26.2,delayed previously,new car,2561.97,<100,1<=X<4,3.25,female div/dep/mar,none,3.3,no known property,27.5,stores,own,1.3,skilled,1,none,yes,bad
0<=X<200,34.9,existing paid,furniture/equipment,3445.08,500<=X<10000,<1,3.63,male mar/wid,guarantor,2.4,car,38.1,stores,own,1,skilled,2,none,yes,bad
<0,43.3,existing paid,radio/tv,1843.22,<100,1<=X<4,4,male single,none,3.8,life insurance,23.6,stores,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
>=200,9.6,existing paid,new car,1320.99,>=1000,1<=X<4,4,male single,guarantor,3.1,car,30,stores,own,1.4,skilled,1,none,yes,bad
<0,35,critical/order existing credit,domestic appliance,8038.52,<100,1<=X<4,3.31,female div/dep/mar,none,2.6,life insurance,25.6,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
<0,12,existing paid,furniture/equipment,1281.53,<100,1<=X<4,2.06,female div/dep/mar,none,3.8,car,21,stores,own,1,skilled,1,none,yes,bad
0<=X<200,24,existing paid,new car,1369.64,>=1000,1<=X<4,3.92,female div/dep/mar,none,4,no known property,25,stores,own,1,skilled,1,none,yes,bad
0<=X<200,21.3,critical/order existing credit,other,1334.42,100<=X<500,<1,4,male div/sep,none,3.6,life insurance,31.4,bank,own,1.6,skilled,2,none,yes,bad
0<=X<200,24,existing paid,new car,1358.84,<100,4<=X<7,3.24,female div/dep/mar,none,4,car,25,stores,own,1,unemp/unskilled non res,1,none,yes,bad
<0,22.9,existing paid,new car,1381.47,>=1000,1<=X<4,3.81,female div/dep/mar,none,2,life insurance,34.2,stores,own,1,skilled,1,none,yes,bad
0<=X<200,38.2,delayed previously,furniture/equipment,5163.82,<100,1<=X<4,3.63,male mar/wid,none,2.2,car,29.2,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,12.4,existing paid,new car,1080.3,<100,1<=X<4,3.93,male single,guarantor,3.9,car,46.8,bank,own,2,skilled,1,none,yes,bad
<0,26.2,critical/order existing credit,domestic appliance,3141.83,<100,1<=X<4,3.28,male mar/wid,none,2.7,life insurance,31,stores,own,1,skilled,1,none,yes,bad
<0,10.6,existing paid,other,664.33,100<=X<500,1<=X<4,4,male mar/wid,none,2,car,20.3,stores,own,1,skilled,1,none,yes,bad
<0,38.1,critical/order existing credit,domestic appliance,4290.26,500<=X<10000,1<=X<4,1.69,female div/dep/mar,none,4,car,23.3,stores,own,1.7,skilled,1,none,yes,bad
0<=X<200,20.6,delayed previously,new car,2039,<100,1<=X<4,1,female div/dep/mar,none,2.7,no known property,20.9,bank,own,1,skilled,1,none,yes,bad
<0,29.5,delayed previously,furniture/equipment,3460.31,<100,<1,3.73,male mar/wid,guarantor,2,car,38.5,stores,own,1.3,skilled,2,none,yes,bad
0<=X<200,15.6,existing paid,furniture/equipment,3956.9,<100,1<=X<4,3.05,female div/dep/mar,none,2,car,29.3,stores,own,1,skilled,1,yes,yes,bad
<0,20.6,delayed previously,new car,996.83,<100,<1,2.3,female div/dep/mar,none,2.9,life insurance,33.8,stores,own,1,unemp/unskilled non res,1,none,yes,bad
