checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,12,critical/order existing credit,new car,694.2811098,<100,>=7,4,male single,none,3.182283878,life insurance,39.01024533,stores,own,1.817716122,skilled,1,none,yes,bad
0<=X<200,12.92431417,critical/order existing credit,education,1133.819825,<100,>=7,4,male div/sep,none,2.563965092,life insurance,32.43603491,stores,for free,1.563965092,skilled,1.563965092,none,yes,bad
<0,44.17703966,existing paid,repairs,4602.76994,<100,<1,2.840709986,male single,none,3.840709986,life insurance,28.77870042,stores,for free,2.159290014,high qualif/self emp/mgmt,1.840709986,none,yes,bad
>=200,13.07045194,existing paid,new car,1385.553978,500<=X<10000,1<=X<4,2.178408657,female div/dep/mar,none,NA,life insurance,26.80283896,stores,own,1,skilled,1,none,yes,bad
<0,21.21201338,all paid,other,1538.565369,<100,1<=X<4,3.535335564,male single,guarantor,3.070671128,car,27.71731549,bank,NA,1.464664436,unemp/unskilled non res,1,none,yes,bad
0<=X<200,41.86573129,critical/order existing credit,education,6050.706909,<100,1<=X<4,4,male single,none,3.233216412,no known property,32.36397747,bank,for free,1,skilled,1,none,yes,bad
>=200,24.17268356,delayed previously,furniture/equipment,6804.208785,>=1000,1<=X<4,2.685853729,male single,none,NA,car,54.62585229,stores,own,1.657073136,skilled,1,none,yes,bad
0<=X<200,24,critical/order existing credit,furniture/equipment,4774.391565,<100,4<=X<7,2,male div/sep,guarantor,3.526030059,car,27.84381965,bank,own,1,unemp/unskilled non res,1,none,yes,bad
<0,32.52250328,critical/order existing credit,radio/tv,11814.4237,500<=X<10000,1<=X<4,2,male div/sep,co applicant,3.355104303,car,33.67343545,bank,own,2,skilled,1.644895697,none,yes,bad
0<=X<200,19.78587408,existing paid,new car,1288.511772,>=1000,4<=X<7,3.64882284,female div/dep/mar,none,2.946468521,life insurance,29.54175988,stores,rent,1,skilled,1,none,yes,bad
<0,16.31623892,delayed previously,education,NA,500<=X<10000,<1,4,male single,none,1.479582102,real estate,36.83665681,bank,own,1,unskilled resident,2,none,yes,bad
<0,14.33679794,critical/order existing credit,new car,2605.873176,<100,<1,2.831601031,male single,guarantor,2.752598454,life insurance,38.84199485,bank,NA,1,skilled,1.415800515,none,yes,bad
0<=X<200,24,delayed previously,furniture/equipment,4795.682621,<100,4<=X<7,2,male mar/wid,co applicant,3.263177525,car,29.42093485,bank,own,1,skilled,1,none,yes,bad
0<=X<200,20.6535464,delayed previously,furniture/equipment,1216.557742,500<=X<10000,1<=X<4,4,male mar/wid,none,3.442257734,no known property,43.01968039,bank,own,1.442257734,unemp/unskilled non res,1.442257734,none,yes,bad
<0,8.480787392,critical/order existing credit,other,3384.826929,<100,4<=X<7,1.826929131,male div/sep,none,4,no known property,40.27881891,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,14.51566834,delayed previously,domestic appliance,2186.8572,<100,1<=X<4,3.128917085,male mar/wid,none,2,life insurance,26.69337563,bank,own,1,skilled,1,none,yes,bad
<0,12,critical/order existing credit,domestic appliance,2263.423541,<100,>=7,3.378772626,male single,none,2.621227374,car,53.18209273,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,33.90127599,delayed previously,new car,4345.366381,<100,4<=X<7,3.337446834,male mar/wid,none,2.337446834,life insurance,30.72425567,bank,own,1.662553166,high qualif/self emp/mgmt,1.662553166,yes,yes,bad
<0,42.59153753,existing paid,radio/tv,1843.996474,<100,1<=X<4,3.899647397,male mar/wid,none,3.799294794,no known property,23.20070521,stores,for free,1.100352603,skilled,1,yes,yes,bad
<0,33.871988,delayed previously,repairs,6279.197289,<100,4<=X<7,4,male single,none,3.215110445,life insurance,38.935994,stores,for free,2,skilled,1,yes,yes,bad
>=200,9.733059466,existing paid,other,738.646818,<100,1<=X<4,3.244353155,female div/dep/mar,none,2.488706311,no known property,NA,bank,own,1,unskilled resident,1.244353155,none,yes,bad
0<=X<200,18.9964954,delayed previously,new car,2256.575349,100<=X<500,4<=X<7,3.498247698,female div/dep/mar,guarantor,2.501752302,car,30.49123849,bank,own,2,skilled,1,none,no,bad
<0,20.03581822,existing paid,new car,1281.366167,>=1000,4<=X<7,3.669651519,female div/dep/mar,none,3.008954556,no known property,33.65174241,stores,own,1,skilled,NA,none,yes,bad
>=200,35.20430189,delayed previously,furniture/equipment,3349,500<=X<10000,1<=X<4,4,female div/dep/mar,none,2.132616352,car,28.13261635,stores,for free,1,high qualif/self emp/mgmt,1.066308176,yes,yes,bad
0<=X<200,12,existing paid,other,674.082878,100<=X<500,4<=X<7,3.984931274,male mar/wid,none,1.015068726,car,20.03767182,bank,own,1,skilled,1,none,yes,bad
<0,36,delayed previously,other,9351.669142,<100,4<=X<7,2.450665595,male single,none,1.675998393,car,24,stores,own,1.225332798,skilled,1,yes,yes,bad
0<=X<200,40.27073174,existing paid,new car,NA,<100,<1,2.903929541,male single,none,2,life insurance,25.53857272,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,15.0731412,existing paid,furniture/equipment,2814.2434,<100,4<=X<7,1.512190199,male div/sep,none,1.487809801,no known property,29.60971179,bank,own,1,unemp/unskilled non res,1.512190199,none,yes,bad
NA,22.20981021,critical/order existing credit,other,1217.044277,100<=X<500,<1,3.552452554,male mar/wid,none,3.552452554,no known property,39.19345986,bank,own,2,skilled,1.850817518,none,yes,bad
0<=X<200,30.52732575,existing paid,furniture/equipment,3441.439438,100<=X<500,1<=X<4,2.175775249,female div/dep/mar,co applicant,3.824224751,car,22.84564012,stores,own,1,skilled,1.087887625,none,yes,bad
<0,24,all paid,new car,1355.282108,NA,<1,4,male single,none,2.805864887,car,39.41759466,stores,own,1.194135113,high qualif/self emp/mgmt,1.194135113,none,yes,bad
<0,46.99823719,all paid,business,7673.869302,<100,4<=X<7,2.111306979,female div/dep/mar,guarantor,3.833039532,car,37.89045583,bank,own,NA,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,15.78446315,delayed previously,furniture/equipment,2771.145786,>=1000,<1,1.473057894,female div/dep/mar,none,2.315371929,car,25.31537193,bank,own,1.157685965,skilled,1,none,yes,bad
0<=X<200,34.96729044,delayed previously,other,2668.624768,100<=X<500,1<=X<4,3.896729044,female div/dep/mar,co applicant,4,life insurance,49.63855165,bank,for free,1,skilled,1,none,yes,bad
0<=X<200,24.21890978,existing paid,retraining,12579.602,500<=X<10000,<1,3.945272556,female div/dep/mar,none,2.036484963,no known property,44.05472744,NA,for free,1,high qualif/self emp/mgmt,NA,yes,yes,bad
<0,19.81823123,existing paid,other,3169.696418,<100,1<=X<4,2.606077075,female div/dep/mar,none,1.696961462,no known property,24.90911561,stores,own,1,skilled,1,none,yes,bad
0<=X<200,14.9917666,existing paid,domestic appliance,1275.054889,>=1000,1<=X<4,3.997255535,female div/dep/mar,none,1.997255535,car,24.00274447,stores,rent,NA,skilled,1,none,yes,bad
<0,21.31016921,existing paid,radio/tv,1833.759323,<100,1<=X<4,3.103389737,female div/dep/mar,none,2,no known property,25.51694869,stores,own,1.896610263,high qualif/self emp/mgmt,1.103389737,none,yes,bad
<0,36,existing paid,furniture/equipment,3446,<100,NA,4,male single,none,2,car,42,stores,own,1,skilled,2,none,yes,bad
<0,28.76218576,existing paid,new car,1838.622353,<100,4<=X<7,3.51747905,female div/dep/mar,none,3.034958101,life insurance,29.65731145,stores,own,1.48252095,skilled,1,yes,yes,bad
<0,24,all paid,business,3161,<100,1<=X<4,4,male single,none,2,life insurance,31,stores,rent,1,skilled,1,yes,yes,bad
0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,female div/dep/mar,none,4,no known property,38,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,12,all paid,radio/tv,2149,<100,1<=X<4,NA,male div/sep,none,1,no known property,29,stores,for free,1,skilled,1,none,yes,bad
no checking,24,NA,radio/tv,5943,no known savings,<1,1,female div/dep/mar,none,1,NA,44,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,28.32161454,existing paid,other,3084.617242,100<=X<500,4<=X<7,3,male mar/wid,none,2.360134545,car,27.76215272,stores,own,1,skilled,1,none,yes,bad
0<=X<200,48,critical/order existing credit,furniture/equipment,5096,<100,1<=X<4,2,female div/dep/mar,none,3,car,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,24.71784019,no credits/all paid,business,4245.665961,500<=X<10000,1<=X<4,NA,male mar/wid,none,4,no known property,34.80359969,stores,own,2.880359969,unskilled resident,1,none,yes,bad
0<=X<200,6,all paid,education,433,>=1000,<1,4,female div/dep/mar,none,2,life insurance,24,bank,rent,1,skilled,2,none,yes,bad
>=200,24.9856204,existing paid,business,4591.574945,<100,1<=X<4,2.041067517,male single,none,3.041067517,life insurance,52.7679745,stores,for free,2.958932483,high qualif/self emp/mgmt,1.041067517,none,yes,bad
<0,21.66772925,all paid,new car,1649.670917,NA,1<=X<4,4,male mar/wid,none,2,car,37.55165941,stores,own,1.777423582,unskilled resident,1.777423582,none,yes,bad
0<=X<200,30,critical/order existing credit,new car,4249,<100,unemployed,4,NA,none,2,car,28,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,48.7987643,delayed previously,education,NA,<100,NA,4,male single,none,4,no known property,49.46749046,stores,for free,1,skilled,1,none,yes,bad
no checking,36,delayed previously,radio/tv,4463,<100,1<=X<4,4,male single,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,12.92431417,critical/order existing credit,education,1133.819825,<100,>=7,4,male div/sep,none,2.563965092,life insurance,32.43603491,stores,for free,1.563965092,skilled,1.563965092,none,yes,bad
0<=X<200,NA,critical/order existing credit,NA,1245,<100,1<=X<4,4,male mar/wid,none,2,car,33,stores,NA,1,skilled,NA,none,yes,bad
0<=X<200,12,existing paid,furniture/equipment,684.7374052,<100,1<=X<4,2.525189588,male mar/wid,none,3.262594794,car,28.93892191,bank,own,1,unskilled resident,1.262594794,none,yes,bad
<0,10.92229001,critical/order existing credit,education,3393.84458,<100,1<=X<4,1.328152667,male div/sep,none,3.015541998,no known property,38.09325199,stores,own,1.328152667,high qualif/self emp/mgmt,1,none,yes,bad
<0,22.87352052,existing paid,new car,1381.469366,>=1000,1<=X<4,3.81225342,female div/dep/mar,none,2,life insurance,34.15514039,stores,own,1,NA,1,none,yes,bad
<0,NA,delayed previously,education,2125.364888,<100,1<=X<4,2.872671663,male single,guarantor,1.436335832,life insurance,29.67236581,stores,own,1.563664168,skilled,1,none,yes,bad
0<=X<200,16.38988653,NA,new car,1453.270794,<100,1<=X<4,3.463295511,male mar/wid,none,3.194943266,no known property,30.12153429,stores,for free,1.731647755,unemp/unskilled non res,1.731647755,none,yes,bad
>=200,23.6638747,existing paid,new car,6760.433613,>=1000,1<=X<4,2.188795823,male mar/wid,none,3.622408353,car,61.01455454,stores,own,1.811204177,skilled,1,none,yes,bad
0<=X<200,24,existing paid,new car,1355,<100,<1,3,female div/dep/mar,none,4,car,25,stores,own,1,unskilled resident,1,yes,yes,bad
<0,24,all paid,furniture/equipment,6872,<100,<1,2,male div/sep,none,1,NA,55,bank,own,1,skilled,1,yes,yes,bad
<0,24,all paid,radio/tv,1546,<100,4<=X<7,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,bad
0<=X<200,14.37990961,critical/order existing credit,new car,1541.53638,<100,4<=X<7,2.189954806,male mar/wid,none,1.793303204,life insurance,31.32968364,bank,own,1,skilled,1,none,yes,bad
0<=X<200,12.00301633,delayed previously,other,1664.244219,<100,NA,4,female div/dep/mar,none,2,car,26.50452449,stores,own,1.250251361,skilled,1.250251361,none,yes,bad
0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male single,none,4,no known property,47,stores,for free,1,skilled,2,yes,yes,bad
<0,12,no credits/all paid,new car,1082,<100,1<=X<4,4,male single,none,4,car,48,bank,own,2,skilled,1,none,yes,bad
0<=X<200,NA,NA,other,1835.48217,<100,1<=X<4,3.241084832,female div/dep/mar,none,2.482169665,no known property,27.16976349,bank,for free,1.758915168,skilled,1,none,NA,bad
0<=X<200,27.15253093,existing paid,new car,14488.46124,<100,>=7,3.115253093,male single,none,2.589831271,no known property,60.24407199,bank,for free,1,high qualif/self emp/mgmt,NA,NA,yes,bad
<0,27,no credits/all paid,business,5293,<100,unemployed,2,male single,none,4,life insurance,50,,own,2,skilled,1,yes,yes,bad
<0,23.4218337,existing paid,new car,1285.991142,no known savings,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,NA,stores,own,1,skilled,NA,none,yes,bad
<0,33.871988,delayed previously,repairs,6279.197289,<100,4<=X<7,4,male single,none,3.215110445,life insurance,38.935994,stores,for free,2,skilled,1,yes,yes,bad
0<=X<200,24,all paid,domestic appliance,3143.838033,500<=X<10000,1<=X<4,3.751275846,male mar/wid,none,2,car,28.76148261,stores,rent,1,skilled,1,yes,yes,bad
<0,21.31016921,existing paid,radio/tv,1833.759323,<100,1<=X<4,3.103389737,female div/dep/mar,none,2,no known property,25.51694869,stores,own,1.896610263,high qualif/self emp/mgmt,1.103389737,none,yes,bad
<0,18,all paid,furniture/equipment,1553,<100,1<=X<4,4,male single,none,3,car,44,bank,own,1,skilled,1,none,yes,bad
0<=X<200,12,existing paid,other,674.082878,100<=X<500,4<=X<7,3.984931274,male mar/wid,none,1.015068726,car,20.03767182,bank,own,1,skilled,1,none,yes,bad
0<=X<200,24,existing paid,furniture/equipment,4070.326449,<100,NA,3,male div/sep,none,3.25144244,car,37.97115121,bank,own,1.25144244,skilled,1.25144244,none,yes,bad
0<=X<200,39.89698178,critical/order existing credit,other,4763.253062,<100,4<=X<7,3.513998264,male single,guarantor,2.243000868,life insurance,26.45800521,stores,own,1.756999132,unemp/unskilled non res,1,none,yes,bad
<0,48,existing paid,new car,3931,<100,4<=X<7,4,male single,none,4,no known property,46,stores,for free,1,skilled,2,NA,yes,bad
<0,19.76696368,all paid,new car,1442,<100,4<=X<7,4,male mar/wid,none,4,life insurance,29.34955448,stores,for free,2,unemp/unskilled non res,1.705506053,none,yes,bad
0<=X<200,18,critical/order existing credit,radio/tv,1245,<100,1<=X<4,4,male mar/wid,none,2,car,33,stores,own,1,skilled,1,none,yes,bad
<0,NA,all paid,furniture/equipment,1580.113564,<100,1<=X<4,4,male mar/wid,none,2.744211657,car,40.16317485,bank,own,1,skilled,1,none,NA,bad
0<=X<200,19.4166992,delayed previously,education,1926.597282,>=1000,<1,4,female div/dep/mar,none,NA,real estate,27.94446613,stores,own,1.236116533,skilled,1,none,yes,bad
no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female div/dep/mar,none,1,car,44,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,18,critical/order existing credit,new car,1056,<100,>=7,3,male single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,bad
<0,24,existing paid,furniture/equipment,2359,100<=X<500,unemployed,NA,male div/sep,none,1,life insurance,33,stores,own,1,skilled,1,none,yes,bad
<0,32.97744792,delayed previously,used car,11571.22181,500<=X<10000,NA,1.37406033,female div/dep/mar,none,4,car,23.37406033,bank,rent,2,skilled,1,none,yes,bad
0<=X<200,29.05254849,no credits/all paid,NA,4273.841565,100<=X<500,1<=X<4,3.526274245,female div/dep/mar,NA,4,car,NA,stores,own,2.157908585,unskilled resident,1,none,yes,bad
0<=X<200,NA,delayed previously,new car,1440.483672,500<=X<10000,4<=X<7,3.393468971,female div/dep/mar,none,3.696734485,car,24.81959309,stores,own,NA,skilled,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,none,1,no known property,52,stores,own,1,high qualif/self emp/mgmt,1,yes,NA,bad
<0,36,critical/order existing credit,used car,NA,<100,4<=X<7,4,male single,none,4,car,24,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,12.39231602,existing paid,new car,1080.299964,<100,1<=X<4,3.934613997,male single,guarantor,3.934613997,car,46.82305195,bank,own,2,skilled,1,none,yes,bad
<0,43.24336589,existing paid,radio/tv,7137.735161,>=1000,4<=X<7,3.378317053,female div/dep/mar,guarantor,2.585544702,car,30.8289106,stores,own,1.207227649,high qualif/self emp/mgmt,1,yes,yes,bad
<0,12,existing paid,furniture/equipment,1281.534451,<100,1<=X<4,2.058193596,female div/dep/mar,none,3.825419213,car,20.98929112,stores,own,1,skilled,1,none,yes,bad
no checking,48,critical/order existing credit,used car,11590,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
<0,31.79728419,existing paid,radio/tv,2388.552942,500<=X<10000,<1,3.649773683,male single,none,1.350226317,life insurance,33.70045263,NA,own,1.350226317,unemp/unskilled non res,1,none,yes,bad
<0,22.04356649,delayed previously,new car,4821.238939,<100,4<=X<7,2.163036126,male single,co applicant,3.163036126,life insurance,32.95643351,stores,own,1.163036126,skilled,1,yes,yes,bad
0<=X<200,6,all paid,education,437.4645276,<100,<1,4,female div/dep/mar,none,2.595270349,life insurance,23.70236483,bank,own,1,skilled,1.702364825,none,yes,bad
<0,28.90171906,existing paid,education,1977.788698,>=1000,<1,3.474201412,male mar/wid,guarantor,3.474201412,life insurance,34.47911482,stores,own,1.262899294,high qualif/self emp/mgmt,1,none,yes,bad
<0,36,delayed previously,education,6887,<100,1<=X<4,4,male single,none,3,life insurance,29,,own,1,skilled,1,yes,yes,bad
no checking,21,delayed previously,business,2580,500<=X<10000,<1,4,male single,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,bad
0<=X<200,36,no credits/all paid,radio/tv,3804,<100,1<=X<4,4,female div/dep/mar,none,1,car,42,stores,own,1,skilled,1,yes,yes,bad
0<=X<200,24,existing paid,repairs,4101.517462,500<=X<10000,4<=X<7,3,female div/dep/mar,none,3.794954671,car,31.07567993,stores,own,1,skilled,1,none,yes,bad
<0,32.97744792,delayed previously,used car,11571.22181,500<=X<10000,1<=X<4,1.37406033,female div/dep/mar,none,4,car,23.37406033,bank,rent,2,skilled,NA,none,yes,bad
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
<0,37.54454316,existing paid,other,6759.045546,<100,1<=X<4,2.651484772,male div/sep,none,2.697030456,NA,43.89506344,stores,own,1.348515228,skilled,1,none,yes,bad
0<=X<200,7.46135199,all paid,education,433,<100,<1,3.878220667,female div/dep/mar,guarantor,2.243558665,life insurance,23.75644133,bank,rent,1,NA,1.878220667,none,yes,bad
0<=X<200,36,existing paid,new car,14318,<100,>=7,4,male single,none,2,no known property,57,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,27.96303035,existing paid,furniture/equipment,3346.32101,<100,<1,4,male mar/wid,none,2,car,35.36722218,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,21.65374925,delayed previously,new car,1250.692502,500<=X<10000,NA,3.478610944,male mar/wid,none,2,no known property,23.52138906,stores,own,1,unemp/unskilled non res,1,none,yes,bad
NA,6.521005486,all paid,new car,931.694674,NA,4<=X<7,1.260502743,female div/dep/mar,none,1.086834248,life insurance,31.65266301,stores,own,1.173668495,unemp/unskilled non res,1,none,yes,bad
0<=X<200,36,existing paid,new car,12389,no known savings,1<=X<4,1,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
0<=X<200,36,delayed previously,new car,NA,100<=X<500,>=7,2,male single,none,4,car,42,stores,own,4,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,24,critical/order existing credit,furniture/equipment,4736,<100,<1,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,bad
<0,24,all paid,business,3161,<100,1<=X<4,4,male single,none,2,life insurance,31,stores,rent,1,skilled,1,yes,yes,bad
<0,21.19515107,critical/order existing credit,new car,3965.866869,<100,<1,1.399393884,female div/dep/mar,none,3.866868705,no known property,33.13313129,bank,own,2.733737411,skilled,1,none,yes,bad
>=200,24.87962893,critical/order existing credit,business,8609.589537,<100,4<=X<7,2,male single,none,2,car,30.22530608,bank,own,1.853395178,skilled,1,none,yes,bad
>=200,15,existing paid,radio/tv,2327,<100,<1,2,female div/dep/mar,none,3,real estate,25,stores,own,1,unskilled resident,1,none,yes,bad
0<=X<200,NA,all paid,new car,1264,NA,1<=X<4,2,male mar/wid,none,2,NA,25,stores,rent,1,skilled,1,none,yes,bad
>=200,9.571685525,existing paid,new car,1320.992805,>=1000,1<=X<4,4,male single,guarantor,3.14337105,car,29.99820132,stores,own,1.428314475,skilled,1,none,yes,bad
0<=X<200,27,existing paid,business,3915,<100,1<=X<4,4,male single,none,NA,car,36,stores,own,1,skilled,2,yes,yes,bad
no checking,27,existing paid,new car,2570,<100,1<=X<4,3,female div/dep/mar,none,3,real estate,21,stores,rent,1,skilled,1,none,yes,bad
<0,18,existing paid,radio/tv,2600,<100,1<=X<4,4,NA,none,4,no known property,65,stores,for free,2,skilled,1,none,yes,bad
>=200,46.4063872,existing paid,business,3899.391883,>=1000,1<=X<4,4,female div/dep/mar,none,1.867198934,no known property,38.53120427,bank,own,1,skilled,1,none,yes,bad
0<=X<200,11.40632775,existing paid,new car,678.8653867,<100,1<=X<4,2.395781502,male mar/wid,none,3,car,25.59367225,bank,own,1,unskilled resident,1,none,yes,bad
<0,15,no credits/all paid,new car,950,<100,>=7,4,male single,none,3,car,33,stores,rent,2,skilled,2,none,yes,bad
0<=X<200,18,no credits/all paid,new car,2278,100<=X<500,<1,3,female div/dep/mar,none,3,car,28,stores,own,2,skilled,1,none,yes,bad
<0,36,critical/order existing credit,furniture/equipment,6229,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,stores,NA,2,unskilled resident,1,yes,yes,bad
<0,24,existing paid,radio/tv,1823,<100,unemployed,4,male single,none,2,car,30,,own,1,high qualif/self emp/mgmt,2,none,yes,bad
<0,14.16207057,existing paid,new car,1223.675859,<100,1<=X<4,4,female div/dep/mar,none,2.360345095,life insurance,23.6396549,stores,own,1,unemp/unskilled non res,1,none,yes,bad
<0,22.87352052,existing paid,new car,1381.469366,>=1000,1<=X<4,3.81225342,female div/dep/mar,none,2,life insurance,34.15514039,stores,own,NA,skilled,1,none,yes,bad
<0,6,existing paid,education,448,<100,<1,4,female div/dep/mar,none,4,life insurance,23,stores,own,1,skilled,1,none,yes,bad
>=200,11.27986623,NA,education,1126.12058,500<=X<10000,1<=X<4,4,female div/dep/mar,none,3.759955409,car,NA,stores,own,1.240044591,unemp/unskilled non res,1.240044591,none,yes,bad
0<=X<200,11.12454359,existing paid,radio/tv,643.3772821,<100,1<=X<4,4,male single,none,NA,car,29.41636239,stores,own,1,skilled,1,none,yes,bad
no checking,9,existing paid,radio/tv,1478,<100,4<=X<7,4,male single,none,2,car,22,stores,own,1,skilled,1,none,yes,bad
<0,24,existing paid,new car,1207,<100,<1,4,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,bad
0<=X<200,14.51469429,existing paid,new car,1769.264497,<100,<1,2.161768569,female div/dep/mar,none,1.080884285,no known property,25.67646286,stores,own,1.919115715,skilled,1,none,yes,bad
NA,30.56935568,delayed previously,furniture/equipment,4520.926873,<100,1<=X<4,3.094892614,male single,none,2.452553693,car,38.67150341,stores,own,2.452553693,high qualif/self emp/mgmt,1,yes,NA,bad
<0,25.06869971,delayed previously,business,1911.835456,<100,<1,4,male single,none,3.452077745,no known property,58.05512731,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,24,delayed previously,furniture/equipment,4795.682621,<100,4<=X<7,2,male mar/wid,co applicant,3.263177525,car,29.42093485,bank,own,1,skilled,1,none,yes,bad
<0,22.68560008,critical/order existing credit,other,1653.7424,NA,4<=X<7,4,male div/sep,none,2,car,33.81946639,stores,own,1.438133308,unskilled resident,1.438133308,none,yes,bad
no checking,36,existing paid,furniture/equipment,10974,<100,unemployed,4,female div/dep/mar,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,57.49132187,critical/order existing credit,business,6836.780478,500<=X<10000,>=7,2.888503194,male single,none,3.888503194,life insurance,61.38329632,stores,own,1.944251597,high qualif/self emp/mgmt,1.055748403,yes,yes,bad
<0,12,delayed previously,new car,762.1498702,<100,4<=X<7,4,male mar/wid,none,2.082891322,no known property,26.58023925,bank,own,1,skilled,1.082891322,none,yes,bad
<0,30,existing paid,furniture/equipment,3108,<100,<1,2,male div/sep,none,4,life insurance,31,stores,own,1,unskilled resident,1,none,yes,bad
<0,15,no credits/all paid,new car,950,<100,>=7,4,male single,none,3,car,33,stores,rent,2,skilled,2,none,yes,bad
no checking,36,critical/order existing credit,new car,7855,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,25,,own,2,skilled,1,yes,yes,bad
<0,NA,existing paid,furniture/equipment,NA,no known savings,1<=X<4,2,male mar/wid,none,4,car,20,stores,own,1,skilled,1,none,yes,bad
<0,24,existing paid,new car,2303,<100,>=7,4,male single,co applicant,1,real estate,45,stores,own,1,skilled,1,none,yes,bad
0<=X<200,NA,existing paid,repairs,639,<100,1<=X<4,4,male single,none,2,car,30,stores,own,1,skilled,1,none,yes,bad
0<=X<200,18,critical/order existing credit,new car,884,<100,>=7,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
<0,23.00270741,existing paid,radio/tv,1938.831077,<100,<1,4,female div/dep/mar,none,3.166215432,life insurance,30.50406111,stores,own,1,skilled,1,none,yes,bad
<0,48,all paid,business,7688.056533,<100,4<=X<7,2.078372653,female div/dep/mar,guarantor,4,car,37.19593163,bank,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,NA,existing paid,other,7439.701056,500<=X<10000,<1,3.076668281,female div/dep/mar,none,2.61555448,life insurance,32.30998547,stores,for free,1,NA,1.30777724,none,yes,bad
0<=X<200,24,existing paid,new car,1246,<100,<1,4,male single,none,2,real estate,23,,own,1,unskilled resident,1,none,yes,bad
0<=X<200,18.9964954,delayed previously,new car,2256.575349,100<=X<500,4<=X<7,3.498247698,female div/dep/mar,guarantor,2.501752302,car,30.49123849,bank,own,2,skilled,1,none,no,bad
0<=X<200,NA,delayed previously,other,1331.861837,<100,<1,2.861837062,male single,none,1.430918531,life insurance,31.04928915,stores,NA,1.430918531,skilled,1.430918531,none,yes,bad
<0,34.79008387,NA,new car,NA,<100,1<=X<4,3.599699511,male div/sep,none,3.199399022,life insurance,39.19489169,stores,for free,1,skilled,1.599699511,none,yes,bad
>=200,24.87962893,critical/order existing credit,business,8609.589537,<100,4<=X<7,2,male single,none,2,car,30.22530608,bank,own,1.853395178,skilled,1,none,yes,bad
<0,9.583668494,all paid,business,538.1209425,<100,<1,4,female div/dep/mar,none,1.402721918,no known property,25.19455616,bank,own,1,skilled,1.402721918,none,yes,bad
<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,bad
<0,NA,existing paid,radio/tv,1882,<100,1<=X<4,4,female div/dep/mar,none,4,car,25,bank,rent,2,skilled,1,none,yes,bad
<0,23.00270741,existing paid,radio/tv,1938.831077,<100,<1,4,female div/dep/mar,none,3.166215432,life insurance,30.50406111,stores,own,1,skilled,1,none,yes,bad
<0,49.67167906,critical/order existing credit,other,7434.509357,500<=X<10000,<1,4,female div/dep/mar,none,1.655722635,life insurance,33.98404357,bank,own,1,high qualif/self emp/mgmt,1,none,yes,bad
<0,20.57506944,existing paid,other,3172.403692,<100,1<=X<4,2,female div/dep/mar,none,2.429178239,no known property,25.50212384,stores,own,1,skilled,1,none,yes,bad
